environment_steps,evaluation_return
221,34.0
485,14.0
804,11.0
973,16.0
1193,24.0
1386,12.0
1547,19.0
1689,22.0
1889,25.0
2061,54.0
2414,18.0
2717,19.0
3035,133.0
3472,72.0
3853,25.0
4684,180.0
5449,190.0
6760,95.0
7528,146.0
8154,118.0
8975,28.0
10033,10.0
10901,14.0
11608,28.0
12282,44.0
13286,103.0
14096,12.0
14730,16.0
15694,33.0
16502,107.0
17328,96.0
18185,66.0
18908,21.0
19790,99.0
20630,30.0
21390,93.0
22090,97.0
22894,97.0
23641,65.0
24486,97.0
25141,102.0
26141,143.0
27307,99.0
28294,114.0
29352,38.0
31427,120.0
32516,109.0
34395,121.0
36123,473.0
37826,114.0
39340,112.0
40514,113.0
41496,111.0
42672,125.0
43948,180.0
45993,399.0
48746,278.0
51454,500.0
54447,500.0
58021,500.0
62396,500.0
67053,500.0
69243,170.0
73964,500.0
76253,168.0
78503,407.0
83316,500.0
87305,500.0
91070,500.0
94350,214.0
98462,173.0
101062,211.0
103915,137.0
105650,500.0
108095,500.0
109665,133.0
112577,396.0
116048,500.0
119269,144.0
121356,135.0
123109,139.0
125408,188.0
126953,117.0
129676,207.0
132442,500.0
135214,500.0
137682,120.0
139063,97.0
139715,23.0
140447,500.0
141309,110.0
142318,94.0
143421,125.0
144568,128.0
145770,500.0
147407,145.0
150037,123.0
155010,500.0
160010,500.0
165010,500.0
