episode,environment_steps,evaluation_return
10,222,10.0
20,399,9.0
30,606,9.0
40,859,10.0
50,1029,8.0
60,1213,10.0
70,1360,9.0
80,1539,13.0
90,1824,11.0
100,1999,9.0
110,2230,13.0
120,2460,12.0
130,2805,180.0
140,3613,238.0
150,4183,199.0
160,4944,208.0
170,5963,243.0
180,7103,131.0
190,8030,119.0
200,8871,112.0
210,9367,120.0
220,9863,99.0
230,10557,102.0
240,11485,98.0
250,12877,93.0
260,13458,98.0
270,14027,500.0
280,14703,88.0
290,15303,150.0
300,16155,88.0
310,16840,88.0
320,17680,253.0
330,18609,34.0
340,19833,500.0
350,20829,105.0
360,21469,114.0
370,22994,91.0
380,24296,212.0
390,25776,107.0
400,27207,108.0
410,28148,90.0
420,29342,110.0
430,30601,159.0
440,31657,143.0
450,32521,90.0
460,33477,95.0
470,34374,89.0
480,35211,122.0
490,36034,286.0
500,37012,95.0
510,37801,91.0
520,38586,117.0
530,38995,43.0
540,39288,26.0
550,39823,115.0
560,40609,192.0
570,41638,127.0
580,42749,110.0
590,43945,122.0
600,46687,310.0
610,50960,500.0
620,54696,386.0
630,58829,500.0
640,63060,500.0
650,67712,500.0
660,72262,500.0
670,75689,125.0
680,76920,103.0
690,78506,500.0
700,79525,500.0
710,80996,500.0
720,82200,101.0
730,84170,96.0
740,86106,131.0
750,87821,204.0
760,88894,164.0
770,90038,163.0
780,91511,137.0
790,93660,110.0
800,95086,100.0
810,96626,96.0
820,98249,93.0
830,99200,96.0
840,100279,129.0
850,101638,246.0
860,104614,134.0
870,106562,500.0
880,109495,156.0
890,111197,200.0
900,113119,99.0
910,115605,300.0
920,119071,500.0
930,122934,500.0
940,125939,500.0
950,129172,500.0
960,131638,85.0
970,135145,500.0
980,138751,27.0
990,141774,500.0
1000,145337,500.0
