episode,training_return
1,18.0
2,14.0
3,12.0
4,18.0
5,23.0
6,30.0
7,13.0
8,12.0
9,63.0
10,19.0
11,34.0
12,10.0
13,11.0
14,16.0
15,25.0
16,10.0
17,12.0
18,21.0
19,26.0
20,12.0
21,18.0
22,15.0
23,21.0
24,22.0
25,18.0
26,22.0
27,26.0
28,39.0
29,11.0
30,15.0
31,10.0
32,22.0
33,103.0
34,19.0
35,16.0
36,10.0
37,25.0
38,19.0
39,14.0
40,15.0
41,15.0
42,19.0
43,21.0
44,21.0
45,14.0
46,20.0
47,19.0
48,16.0
49,14.0
50,11.0
51,34.0
52,23.0
53,10.0
54,16.0
55,10.0
56,14.0
57,10.0
58,16.0
59,9.0
60,42.0
61,9.0
62,12.0
63,13.0
64,11.0
65,14.0
66,11.0
67,12.0
68,43.0
69,9.0
70,13.0
71,12.0
72,17.0
73,14.0
74,22.0
75,18.0
76,18.0
77,32.0
78,11.0
79,13.0
80,22.0
81,49.0
82,41.0
83,13.0
84,44.0
85,24.0
86,11.0
87,17.0
88,20.0
89,23.0
90,43.0
91,10.0
92,12.0
93,11.0
94,13.0
95,27.0
96,13.0
97,26.0
98,16.0
99,29.0
100,18.0
101,29.0
102,54.0
103,11.0
104,31.0
105,33.0
106,14.0
107,11.0
108,12.0
109,23.0
110,13.0
111,12.0
112,37.0
113,12.0
114,19.0
115,32.0
116,26.0
117,14.0
118,43.0
119,17.0
120,18.0
121,25.0
122,64.0
123,20.0
124,57.0
125,29.0
126,46.0
127,44.0
128,12.0
129,12.0
130,36.0
131,24.0
132,120.0
133,51.0
134,60.0
135,85.0
136,109.0
137,109.0
138,142.0
139,78.0
140,30.0
141,89.0
142,19.0
143,100.0
144,21.0
145,12.0
146,124.0
147,48.0
148,62.0
149,69.0
150,26.0
151,135.0
152,19.0
153,114.0
154,147.0
155,92.0
156,31.0
157,86.0
158,63.0
159,61.0
160,13.0
161,81.0
162,59.0
163,106.0
164,147.0
165,25.0
166,97.0
167,32.0
168,248.0
169,177.0
170,47.0
171,185.0
172,208.0
173,40.0
174,120.0
175,28.0
176,65.0
177,194.0
178,141.0
179,143.0
180,16.0
181,116.0
182,131.0
183,113.0
184,126.0
185,110.0
186,13.0
187,78.0
188,116.0
189,20.0
190,104.0
191,112.0
192,72.0
193,106.0
194,108.0
195,14.0
196,14.0
197,128.0
198,115.0
199,66.0
200,106.0
201,53.0
202,26.0
203,119.0
204,90.0
205,22.0
206,15.0
207,122.0
208,22.0
209,13.0
