episode,environment_steps,evaluation_return
10,98,9.0
20,200,9.0
30,310,10.0
40,406,10.0
50,508,9.0
60,610,9.0
70,710,10.0
80,806,10.0
90,905,10.0
100,1007,9.0
110,1125,13.0
120,1237,8.0
130,1342,9.0
140,1443,8.0
150,1577,65.0
160,1765,8.0
170,1910,10.0
180,2038,10.0
190,2144,9.0
200,2286,11.0
210,2486,15.0
220,2710,9.0
230,3478,128.0
240,5278,176.0
250,7117,183.0
260,8969,262.0
270,11155,224.0
280,12706,136.0
290,14279,110.0
300,15767,128.0
310,16893,122.0
320,17822,279.0
330,19015,291.0
340,20504,249.0
350,22077,333.0
360,23616,111.0
370,24992,178.0
380,26469,255.0
390,27949,184.0
400,31107,178.0
410,32326,235.0
420,34192,286.0
430,37547,120.0
440,41899,500.0
450,45993,500.0
460,50507,500.0
470,55283,500.0
480,60283,500.0
490,63585,23.0
500,64618,22.0
510,65176,23.0
520,65930,123.0
530,66823,144.0
540,68030,141.0
550,69763,500.0
560,72410,500.0
570,77125,500.0
580,80086,23.0
590,82485,500.0
600,86423,500.0
610,90416,500.0
620,94618,134.0
630,96486,500.0
640,98218,107.0
650,99116,138.0
660,100520,115.0
670,101910,160.0
680,104287,171.0
690,106639,500.0
700,110547,500.0
710,113488,500.0
720,115390,173.0
730,116612,168.0
740,117742,152.0
750,121027,500.0
760,123902,500.0
770,126444,500.0
780,128801,500.0
790,130291,117.0
800,131472,120.0
810,132495,98.0
820,133990,384.0
830,135241,97.0
840,137400,500.0
850,141441,500.0
860,144023,108.0
870,145084,109.0
880,146141,103.0
890,147116,120.0
900,148378,111.0
910,149325,115.0
920,150606,97.0
930,151595,135.0
940,152478,113.0
950,153384,184.0
960,154935,210.0
970,157430,313.0
980,159837,500.0
990,161841,500.0
1000,164592,500.0
