episode,training_return
1,11.0
2,10.0
3,9.0
4,9.0
5,10.0
6,11.0
7,10.0
8,9.0
9,10.0
10,9.0
11,9.0
12,9.0
13,11.0
14,9.0
15,9.0
16,10.0
17,12.0
18,9.0
19,12.0
20,12.0
21,11.0
22,9.0
23,10.0
24,14.0
25,10.0
26,10.0
27,13.0
28,10.0
29,14.0
30,9.0
31,10.0
32,9.0
33,10.0
34,12.0
35,10.0
36,8.0
37,8.0
38,10.0
39,9.0
40,10.0
41,8.0
42,10.0
43,11.0
44,12.0
45,10.0
46,10.0
47,12.0
48,10.0
49,9.0
50,10.0
51,11.0
52,10.0
53,10.0
54,10.0
55,11.0
56,10.0
57,8.0
58,9.0
59,10.0
60,13.0
61,10.0
62,9.0
63,9.0
64,10.0
65,10.0
66,10.0
67,10.0
68,10.0
69,9.0
70,13.0
71,10.0
72,9.0
73,10.0
74,10.0
75,9.0
76,10.0
77,9.0
78,11.0
79,9.0
80,9.0
81,12.0
82,8.0
83,11.0
84,9.0
85,9.0
86,13.0
87,9.0
88,10.0
89,9.0
90,9.0
91,11.0
92,9.0
93,10.0
94,10.0
95,9.0
96,12.0
97,9.0
98,9.0
99,14.0
100,9.0
101,10.0
102,10.0
103,9.0
104,11.0
105,11.0
106,18.0
107,12.0
108,9.0
109,13.0
110,15.0
111,12.0
112,11.0
113,9.0
114,14.0
115,10.0
116,11.0
117,9.0
118,9.0
119,16.0
120,11.0
121,10.0
122,9.0
123,10.0
124,14.0
125,8.0
126,10.0
127,11.0
128,11.0
129,10.0
130,12.0
131,10.0
132,9.0
133,9.0
134,12.0
135,9.0
136,8.0
137,12.0
138,10.0
139,12.0
140,10.0
141,9.0
142,11.0
143,9.0
144,10.0
145,11.0
146,9.0
147,10.0
148,22.0
149,31.0
150,12.0
151,10.0
152,50.0
153,10.0
154,24.0
155,15.0
156,21.0
157,19.0
158,12.0
159,17.0
160,10.0
161,30.0
162,12.0
163,9.0
164,9.0
165,9.0
166,12.0
167,20.0
168,9.0
169,23.0
170,12.0
171,11.0
172,12.0
173,9.0
174,10.0
175,11.0
176,11.0
177,14.0
178,31.0
179,8.0
180,11.0
181,11.0
182,11.0
183,13.0
184,11.0
185,11.0
186,10.0
187,8.0
188,11.0
189,10.0
190,10.0
191,8.0
192,8.0
193,9.0
194,11.0
195,32.0
196,12.0
197,9.0
198,23.0
199,9.0
200,21.0
201,13.0
202,12.0
203,12.0
204,30.0
205,44.0
206,41.0
207,11.0
208,11.0
209,11.0
210,15.0
211,11.0
212,26.0
213,11.0
214,23.0
215,9.0
216,13.0
217,11.0
218,24.0
219,69.0
220,27.0
221,34.0
222,140.0
223,31.0
224,12.0
225,81.0
226,34.0
227,59.0
228,80.0
229,135.0
230,162.0
231,165.0
232,150.0
233,250.0
234,168.0
235,232.0
236,165.0
237,145.0
238,178.0
239,155.0
240,192.0
241,196.0
242,241.0
243,235.0
244,136.0
245,211.0
246,228.0
247,156.0
248,139.0
249,173.0
250,124.0
251,229.0
252,170.0
253,156.0
254,284.0
255,213.0
256,162.0
257,161.0
258,178.0
259,153.0
260,146.0
261,196.0
262,392.0
263,56.0
264,247.0
265,407.0
266,255.0
267,149.0
268,128.0
269,148.0
270,208.0
271,161.0
272,165.0
273,144.0
274,166.0
275,117.0
276,118.0
277,147.0
278,158.0
279,138.0
280,237.0
281,147.0
282,182.0
283,145.0
284,177.0
285,144.0
286,157.0
287,117.0
288,129.0
289,263.0
290,112.0
291,127.0
292,111.0
293,166.0
294,290.0
295,158.0
296,80.0
297,145.0
298,180.0
299,121.0
300,110.0
301,110.0
302,167.0
303,106.0
304,128.0
305,107.0
306,106.0
307,109.0
308,99.0
309,108.0
310,86.0
311,103.0
312,102.0
313,102.0
314,91.0
315,98.0
316,33.0
317,42.0
318,101.0
319,115.0
320,142.0
321,115.0
322,108.0
323,134.0
324,120.0
325,122.0
326,113.0
327,108.0
328,113.0
329,115.0
330,145.0
331,115.0
332,162.0
333,230.0
334,124.0
335,281.0
336,175.0
337,63.0
338,142.0
339,113.0
340,84.0
341,140.0
342,143.0
343,146.0
344,91.0
345,145.0
346,150.0
347,257.0
348,145.0
349,212.0
350,144.0
351,152.0
352,195.0
353,166.0
354,144.0
355,131.0
356,146.0
357,140.0
358,169.0
359,179.0
360,117.0
361,149.0
362,211.0
363,271.0
364,103.0
365,118.0
366,205.0
367,11.0
368,115.0
369,12.0
370,181.0
371,28.0
372,157.0
373,150.0
374,173.0
375,144.0
376,139.0
377,189.0
378,141.0
379,152.0
380,204.0
381,34.0
382,153.0
383,148.0
384,162.0
385,152.0
386,138.0
387,146.0
388,147.0
389,199.0
390,201.0
391,191.0
392,184.0
393,176.0
394,500.0
395,415.0
396,367.0
397,323.0
398,274.0
399,500.0
400,228.0
401,14.0
402,73.0
403,42.0
404,205.0
405,252.0
406,16.0
407,108.0
408,143.0
409,185.0
410,181.0
411,24.0
412,116.0
413,57.0
414,407.0
415,178.0
416,91.0
417,354.0
418,500.0
419,125.0
420,14.0
421,333.0
422,89.0
423,163.0
424,130.0
425,500.0
426,476.0
427,164.0
428,500.0
429,500.0
430,500.0
431,500.0
432,500.0
433,500.0
434,500.0
435,500.0
436,500.0
437,170.0
438,500.0
439,182.0
440,500.0
441,500.0
442,500.0
443,500.0
444,317.0
445,195.0
446,500.0
447,500.0
448,82.0
449,500.0
450,500.0
451,500.0
452,500.0
453,500.0
454,500.0
455,500.0
456,500.0
457,14.0
458,500.0
459,500.0
460,500.0
461,500.0
462,500.0
463,500.0
464,500.0
465,500.0
466,500.0
467,500.0
468,500.0
469,276.0
470,500.0
471,500.0
472,500.0
473,500.0
474,500.0
475,500.0
476,500.0
477,500.0
478,500.0
479,500.0
480,500.0
481,500.0
482,500.0
483,240.0
484,490.0
485,500.0
486,24.0
487,295.0
488,256.0
489,287.0
490,210.0
491,334.0
492,188.0
493,133.0
494,130.0
495,127.0
496,21.0
497,21.0
498,21.0
499,24.0
500,34.0
501,35.0
502,129.0
503,19.0
504,18.0
505,127.0
506,36.0
507,23.0
508,129.0
509,21.0
510,21.0
511,132.0
512,16.0
513,27.0
514,27.0
515,134.0
516,19.0
517,136.0
518,130.0
519,115.0
520,18.0
521,125.0
522,38.0
523,123.0
524,132.0
525,22.0
526,32.0
527,113.0
528,44.0
529,133.0
530,131.0
531,131.0
532,130.0
533,56.0
534,142.0
535,20.0
536,150.0
537,137.0
538,137.0
539,167.0
540,137.0
541,47.0
542,133.0
543,500.0
544,37.0
545,183.0
546,139.0
547,33.0
548,31.0
549,130.0
550,500.0
551,218.0
552,66.0
553,500.0
554,300.0
555,283.0
556,500.0
557,238.0
558,12.0
559,30.0
560,500.0
561,500.0
562,393.0
563,434.0
564,388.0
565,500.0
566,500.0
567,500.0
568,500.0
569,500.0
570,500.0
571,500.0
572,500.0
573,500.0
574,500.0
575,32.0
576,10.0
577,80.0
578,500.0
579,28.0
580,311.0
581,347.0
582,26.0
583,500.0
584,22.0
585,18.0
586,500.0
587,17.0
588,104.0
589,365.0
590,500.0
591,153.0
592,12.0
593,500.0
594,500.0
595,450.0
596,500.0
597,323.0
598,500.0
599,500.0
600,500.0
601,128.0
602,500.0
603,422.0
604,500.0
605,500.0
606,500.0
607,482.0
608,299.0
609,162.0
610,500.0
611,500.0
612,500.0
613,500.0
614,500.0
615,500.0
616,479.0
