episode,environment_steps,evaluation_return
10,148,9.0
20,253,10.0
30,364,9.0
40,458,10.0
50,552,9.0
60,649,9.0
70,743,10.0
80,837,9.0
90,929,10.0
100,1025,10.0
110,1131,10.0
120,1225,9.0
130,1326,8.0
140,1420,9.0
150,1536,9.0
160,1706,19.0
170,1810,9.0
180,1913,21.0
190,2044,11.0
200,2227,25.0
210,2389,9.0
220,2641,11.0
230,2838,10.0
240,3069,13.0
250,4243,207.0
260,6626,206.0
270,8574,183.0
280,10269,209.0
290,12307,194.0
300,13830,212.0
310,15718,120.0
320,17109,157.0
330,18731,127.0
340,21237,114.0
350,23702,137.0
360,25466,107.0
370,26884,102.0
380,28200,121.0
390,29458,105.0
400,30691,128.0
410,31819,126.0
420,33254,104.0
430,35199,500.0
440,37795,105.0
450,40843,124.0
460,45409,500.0
470,49414,500.0
480,54414,500.0
490,57189,187.0
500,59604,181.0
510,61648,149.0
520,64260,145.0
530,66157,170.0
540,69409,500.0
550,73098,500.0
560,75990,301.0
570,78144,180.0
580,81811,500.0
590,83825,500.0
600,86537,500.0
610,91284,234.0
620,94982,500.0
630,99470,500.0
640,101501,500.0
650,105990,128.0
660,110516,500.0
670,113278,184.0
680,114972,179.0
690,116939,257.0
700,120641,500.0
710,124145,500.0
720,129145,500.0
730,134145,500.0
740,139145,500.0
750,143116,500.0
760,147532,500.0
770,151833,500.0
780,156833,500.0
790,161833,500.0
800,165570,500.0
810,169753,162.0
820,172530,207.0
830,174760,155.0
840,176396,139.0
850,178200,249.0
860,179638,153.0
870,181708,500.0
880,184872,190.0
890,186813,500.0
900,189330,133.0
910,191011,126.0
920,193371,500.0
930,197982,500.0
940,202982,500.0
950,206635,500.0
960,208027,500.0
970,209257,108.0
980,210240,94.0
990,212803,500.0
1000,217528,500.0
