episode,environment_steps,evaluation_return
10,222,10.0
20,399,10.0
30,592,11.0
40,801,10.0
50,951,8.0
60,1114,9.0
70,1322,12.0
80,1488,8.0
90,1661,9.0
100,1873,9.0
110,2175,10.0
120,2471,20.0
130,2790,50.0
140,3223,56.0
150,3464,49.0
160,3969,85.0
170,4357,72.0
180,4746,91.0
190,5267,78.0
200,5717,87.0
210,6262,84.0
220,6933,74.0
230,7219,95.0
240,7794,90.0
250,8140,92.0
260,8653,96.0
270,9280,90.0
280,10025,94.0
290,10597,64.0
300,10918,37.0
310,11495,28.0
320,12026,92.0
330,12935,90.0
340,13674,51.0
350,14277,97.0
360,15343,93.0
370,16216,71.0
380,16818,97.0
390,17559,85.0
400,18307,64.0
410,19160,92.0
420,19811,73.0
430,20951,57.0
440,21927,96.0
450,22884,100.0
460,23887,97.0
470,24732,93.0
480,25679,87.0
490,26505,88.0
500,27105,92.0
510,27606,93.0
520,28843,97.0
530,29508,96.0
540,30208,91.0
550,30895,91.0
560,31890,89.0
570,32734,90.0
580,34510,91.0
590,35841,93.0
600,36879,92.0
610,38196,88.0
620,39900,97.0
630,41335,94.0
640,42504,91.0
650,43760,91.0
660,45412,90.0
670,47129,90.0
680,48106,92.0
690,49082,87.0
700,49814,91.0
710,50854,91.0
720,52215,62.0
730,53419,87.0
740,54883,95.0
750,55899,93.0
760,57986,93.0
770,60251,74.0
780,62490,86.0
790,64314,95.0
800,65951,93.0
810,67351,88.0
820,69142,89.0
830,70545,85.0
840,71623,90.0
850,72675,95.0
860,74651,97.0
870,76546,88.0
880,78133,91.0
890,80459,95.0
900,82447,81.0
910,84390,86.0
920,85447,16.0
930,87388,88.0
940,89159,69.0
950,90977,87.0
960,92260,92.0
970,94168,92.0
980,95457,43.0
990,97093,91.0
1000,99049,90.0
