episode,training_return
1,18.0
2,14.0
3,12.0
4,18.0
5,23.0
6,30.0
7,13.0
8,12.0
9,63.0
10,19.0
11,29.0
12,44.0
13,31.0
14,10.0
15,11.0
16,16.0
17,14.0
18,22.0
19,15.0
20,9.0
21,13.0
22,23.0
23,34.0
24,38.0
25,32.0
26,27.0
27,36.0
28,16.0
29,13.0
30,12.0
31,23.0
32,20.0
33,35.0
34,16.0
35,12.0
36,10.0
37,26.0
38,21.0
39,10.0
40,19.0
41,22.0
42,27.0
43,17.0
44,21.0
45,23.0
46,22.0
47,14.0
48,23.0
49,22.0
50,20.0
51,15.0
52,27.0
53,24.0
54,32.0
55,11.0
56,15.0
57,12.0
58,19.0
59,14.0
60,46.0
61,9.0
62,12.0
63,14.0
64,11.0
65,19.0
66,27.0
67,13.0
68,31.0
69,14.0
70,11.0
71,18.0
72,13.0
73,13.0
74,13.0
75,23.0
76,40.0
77,15.0
78,19.0
79,24.0
80,15.0
81,32.0
82,14.0
83,16.0
84,32.0
85,20.0
86,13.0
87,37.0
88,18.0
89,23.0
90,39.0
91,22.0
92,13.0
93,16.0
94,18.0
95,18.0
96,14.0
97,10.0
98,15.0
99,13.0
100,13.0
101,13.0
102,40.0
103,21.0
104,51.0
105,21.0
106,21.0
107,27.0
108,51.0
109,9.0
110,29.0
111,11.0
112,12.0
113,40.0
114,19.0
115,65.0
116,11.0
117,14.0
118,17.0
119,41.0
120,39.0
121,33.0
122,111.0
123,22.0
124,172.0
125,60.0
126,19.0
127,123.0
128,82.0
129,58.0
130,12.0
131,38.0
132,118.0
133,53.0
134,33.0
135,102.0
136,70.0
137,45.0
138,54.0
139,154.0
140,187.0
141,89.0
142,25.0
143,53.0
144,174.0
145,174.0
146,33.0
147,112.0
148,16.0
149,137.0
150,17.0
151,142.0
152,128.0
153,13.0
154,135.0
155,95.0
156,18.0
157,74.0
158,60.0
159,68.0
160,152.0
161,19.0
162,87.0
163,102.0
164,97.0
165,65.0
166,149.0
167,102.0
168,143.0
169,68.0
170,104.0
171,13.0
172,44.0
173,143.0
174,31.0
175,97.0
176,42.0
177,111.0
178,100.0
179,68.0
180,20.0
181,112.0
182,29.0
183,20.0
184,123.0
185,45.0
186,102.0
187,108.0
188,142.0
189,150.0
190,190.0
191,21.0
192,12.0
193,15.0
194,105.0
195,119.0
196,38.0
197,118.0
198,104.0
199,102.0
200,116.0
201,23.0
202,17.0
203,114.0
204,42.0
205,114.0
206,109.0
207,33.0
208,30.0
209,108.0
