episode,environment_steps,evaluation_return
10,222,10.0
20,399,9.0
30,606,8.0
40,888,8.0
50,1078,11.0
60,1230,9.0
70,1355,9.0
80,1501,10.0
90,1703,9.0
100,1855,9.0
110,1993,9.0
120,2182,10.0
130,2450,11.0
140,2894,370.0
150,3301,216.0
160,3788,164.0
170,4443,248.0
180,5486,148.0
190,6371,153.0
200,7350,111.0
210,8085,189.0
220,9362,117.0
230,10434,411.0
240,11829,138.0
250,12900,109.0
260,14007,138.0
270,14701,103.0
280,15689,185.0
290,16334,94.0
300,17354,244.0
310,18415,97.0
320,19618,172.0
330,21019,126.0
340,22641,128.0
350,23314,150.0
360,24286,106.0
370,25491,123.0
380,27759,150.0
390,28925,158.0
400,32134,198.0
410,35040,500.0
420,36833,500.0
430,38566,19.0
440,40361,500.0
450,44089,500.0
460,48154,500.0
470,51884,500.0
480,54671,500.0
490,58881,500.0
500,62535,500.0
510,66302,127.0
520,69123,500.0
530,73977,500.0
540,78304,500.0
550,79421,19.0
560,81596,500.0
570,86142,500.0
580,88674,101.0
590,89463,123.0
600,92800,500.0
610,96623,99.0
620,100267,107.0
630,102275,500.0
640,103315,429.0
650,106407,500.0
660,109466,500.0
670,111771,111.0
680,114838,500.0
690,117431,500.0
700,118331,90.0
710,119298,93.0
720,121495,155.0
730,122985,129.0
740,124450,212.0
750,125818,500.0
760,127384,500.0
770,130387,264.0
780,134928,142.0
790,137557,129.0
800,140085,500.0
810,144344,500.0
820,149021,154.0
830,152108,111.0
840,154494,500.0
850,157357,155.0
860,159968,153.0
870,163187,141.0
880,165995,112.0
890,169736,142.0
900,171323,500.0
910,173548,137.0
920,174663,99.0
930,175752,95.0
940,178889,102.0
950,180220,500.0
960,183524,382.0
970,187751,167.0
980,192417,500.0
990,195564,111.0
1000,197072,500.0
